id,keyword,location,text,target
6035,heat%20wave,"Brooklyn, NY","I added some dumb ideas to beat the #summer heat cheaply,
 http://t.co/jatxpAFvA9 @brokelyn #brokelynati",0
2168,catastrophic,,If a å£1 rise in wages is going to have such a catastrophic impact on wage structure. What the fuck is automation going to do!?,0
317,annihilated,,How do I step outside for 5 seconds and get annihilated  by mosquitoes?,0
9682,tornado,Canada,Tornado warnings issued for southern Alberta http://t.co/zqmzAi8yIz,1
5857,hailstorm,"Calgary, Alberta, Canada",Get out of the hailstorm and come down to @TheBrokenCity 2night at 9PM to catch a screening ft. @thebanffcentre! There will be BEER + FOOD!,1
4267,drowning,real world,and no one knows that i'm drowning and i know that i can't fcking survive,0
8248,rioting,GO Bucks!,"we shootn each other over video games................wow ghee  sad
but I still don't see no rioting no walks no... http://t.co/O423U56yPh",1
5364,fire%20truck,"Lampe, MO",What a night! Kampers go on vacation to end our Dream Job party where fire truck sprays the pool with a hose! http://t.co/if0BiyubC4,0
4414,electrocute,,Photo: weallheartonedirection: I wouldnÛªt let David electrocute himself so IÛªm the asshole http://t.co/nC2d6IRm2u,0
7133,military,Worldwide,Obama warns there will be another war without Iran deal #military http://t.co/gM7QlTRLuW http://t.co/wTutMlHDMH,1
10347,weapons,United Kingdom,Helpful Tips For Nuking An Asteroid http://t.co/GwRsga9uJV,0
8277,rioting,Portland,#DebateQuestionsWeWantToHear Are these thugs or boys being boys? https://t.co/T0aZ5d9BHK,0
6741,lava,,HE SAID THE DOMINOS LAVA CAKES WERE BETTER THAN CULINARY CUISINE,0
10178,violent%20storm,,Holy crap! BRAVO Sir! Amazing! Dramatic Video Shows Plane Landing During Violent Storm http://t.co/xB0bw8h8Ur,1
6139,hijack,,Himika Amase is the only prophet in the world who foresaw 'hijack in March' as it was on her Jps Twitter in Feb 2014. malyasiaairlines. ???,1
10459,wild%20fires,"North Tonawanda, NY",California wild fires blow my mind every time,1
5436,first%20responders,"From Boston, for New England",.@MLSudders on social workers: 'I would like us to think of them as first responders and give them the same level of respect',1
3782,destruction,,When life is cheap evil abounds and @PPact @HillaryClinton profit from its destruction.#DefundPP http://t.co/H5rzmAy8lP,0
2447,collide,,When Social Media Marketing and Ethics Rules Collide | The Recorder http://t.co/D0Bnm1ZZak,0
4871,explode,,My ears are gonna explode smh,0
5806,hail,Oklahoma,Severe Thunderstorm 7 Miles North of Arcadia Moving SE At 20 MPH. 60 MPH Wind Gusts and Large Hail. Hail... #okwx http://t.co/WEd69e4KRg,1
10277,war%20zone,,Um OK '@dandre_5: Sundays during football seasonfrom about 9 am - 11 pm women shouldn't even log onshit be a complete war zone',0
3291,demolish,,Enugu Government to demolish illegal structures at International Conference Centre http://t.co/bq67uDctjc RT,0
3541,derailment,,CTA Green Line service has resumed after an earlier derailment near Garfield expect delays. @WBBMNewsradio,1
4816,evacuation,,How an anatomic mother helps up-to-the-minute remodeling high evacuation hospital: IaAvRoIV,0
3974,devastation,United States,ÛÏEven in the midst of devastation something within us always points the way to freedom.Û,0
9637,thunderstorm,,Special Weather Statement issued August 05 at 10:40PM EDT by NWS: ...STRONG THUNDERSTORM WILL IMPACT PORTIONS ... http://t.co/ulqeR1yTpX,1
10807,wrecked,Acey mountain islanddåÇTorontoåÈ,Smackdown tyme this should put me in a good mood again since it got wrecked smh,0
10440,wild%20fires,YYC,my wife has opted to take holidays &amp; historically since we met @lanahillman gets special treatment her bonfires can't start wild fires-RAIN!,1
5897,harm,,@ShaunKing HARSH PENALTIES FOR LEGAL FIREARM OWNERS WHO STRAW PURCHASE A FIREARM FOR ANY FELON. GANG MEMBERS ONLY INTEND TO CAUSE HARM!,0
4259,drowning,Doo Doo Boy Island,If you told me you was drowning. I would not lend a hand!,0
5542,flattened,,Zouma flattened that breh,0
3128,debris,,RÌ©union Debris Is Almost Surely From Flight 370 Officials Say http://t.co/hJ1BX8Bgu1,1
5388,fire%20truck,"Queens, New York",@dmon2112 @C_T_Morgan but the fire rings of NYC permits I'd have to jump through for a food truck don't make it appealing,0
333,annihilated,,They should all die! All of them! Everything annihilated!,1
9908,trouble,,@TitusOReily He's not responsible for the trouble urine!,0
22,,,Hey! How are you?,0
8826,sirens,Bristol,sleeping with sirens are so irrelevant,0
9478,terrorism,,"Truth...
https://t.co/Kix1j4ZyGx
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/pi6Qn7y7ql",1
1424,body%20bag,Paignton,?? New Ladies Shoulder Tote #Handbag Faux Leather Hobo Purse Cross Body Bag #Womens http://t.co/zujwUiomb3 http://t.co/eDHjUjIuoB,0
1101,blew%20up,she/her ,Well this blew up while i was sleeping,0
8104,rescued,Canada,10-Month-Old Baby Girl was Rescued by Coastguard after She Floated HALF A MILE Out to Sea! http://t.co/kJUzJC6iGD,1
10033,twister,Flat Rock,when you get stuck on the wicked twister and they have to call maintenance to get you out.. http://t.co/7iFPMFssMU,0
825,battle,USA!,I liked a @YouTube video from @screwattack http://t.co/W5dLLV48cs Knuckles punches into DEATH BATTLE!,0
7422,obliterated,USA ,the 301+ feature on YouTube has been obliterated and I love it.,0
9811,trauma,The Jewfnited State,"RT MME_AUSTIN: Why #Marijuana Is Critical For Research in Treating #PTSD,

http://t.co/T6fuAhFp7p 
#hempoil #cannÛ_ http://t.co/RhE7dXM7Ey",1
343,annihilated,"Chicago, Illinois",$GMCR no longe rGreen mountain now Red Mountain...stock annihilated after hours,0
1427,body%20bag,"Rowlett, TX",Two-Tone Cross-Body Smartphone Bag Only $15 Shipped! via Dian's Daily Deals - ** Two-Tone ... http://t.co/91LaZl2crV,1
1746,buildings%20burning,Rochester NY,3 rules for a long life.  #1ÛÒDonÛªt go in burning buildings! #2ÛÒDonÛªt jump out of perfectly good airplanes! #3ÛÒDonÛªt awaken sleeping giants!,0
1583,bombed,,Photo bombed by a princess http://t.co/i4PthsuYQ9,0
