id,keyword,location,text,target
2646,crashed,USA,Website Malfunctioning? PHP Scripts not working? Database Crashed? Need a Unique Script? PHP PRO to the rescue! http://t.co/LadH9Oo086,0
7511,oil%20spill,Houston,'California: Spring Oil Spill Estimate Grows ' by THE ASSOCIATED PRESS via NYT http://t.co/gPKkHhBRIy,1
10233,volcano,"Hawaii, USA",#USGS M 1.9 - 5km S of Volcano Hawaii: Time2015-08-06 01:04:01 UTC2015-08-05 15:04:01 -10:00 at epicenter... http://t.co/meVvkaXcdE #SM,1
5360,fire,Wonderland,When your likes your Fire IG selfie ????,0
9742,tragedy,,Rly tragedy in MP: Some live to recount horror: ÛÏWhen I saw coaches of my train plunging into water I called ... http://t.co/BdlqasD0wB,1
3882,detonation,ShloMotion,#JerusalemPost WATCH: Israel performs controlled detonation of land mines on Golan Heights http://t.co/01HuX8Y9Gi,1
7450,obliteration,Canada ,Need a conquest server on CTE they're all Russian Squad Obliteration servers at the moment. Lame. But only 105 ping on Russian server. ??,0
6378,hostages,Rocky Mountains,Sinjar Massacre Yazidis Blast Lack of Action Over Hostages http://t.co/fdU8aCnC2W #denver #billings #rapidcity #seattle #cheyenne #lasvegas,1
10728,wreck,Philippians 4:13,Dj d wreck cut the beat,0
3767,destruction,Hell,@iam_destruction Okay.. I'll put my tail in first.. -He moved to slip it in slowly.-,0
9560,thunder,kolkata,"Yr voice ws the soundtrack of my summer.Do u know u're unlike any other.U'll always be my thunder! ? @DarshanRavalDZ http://t.co/XVRbKvannu",0
10391,whirlwind,,Missing Malaysian airplane: Debris was planted ÛÒ Families News - WhirlWind News http://t.co/bLd0nHKzbh,1
7539,oil%20spill,Los Angeles,Refugio oil spill may have been costlier bigger than projected http://t.co/d7FdCLU404,1
897,bioterrorism,,Bioterrorism : Guidelines for Medical and Public Health Management (2002) http://t.co/zkUXHnoBaG http://t.co/FHgkYxffu5,1
10475,wild%20fires,,Wild Fires In California Continue To Burn - http://t.co/nKcmib9WL0 http://t.co/CpMGBWVDXM,1
9170,suicide%20bomber,"Vienna, Austria, Europe",Suicide bomber kills 15 in Saudi security site mosque - Reuters http://t.co/KCObrZBVDs http://t.co/y62HSFVIAQ,1
2155,catastrophe,Portugal,Alaska's #Wolves face catastrophe Alexander #ArchipelagoWolves population plummeted 60% in 1 yr. Be their voice:  http://t.co/vCpKdbnSfp,1
9615,thunderstorm,,Severe Thunderstorm Warning until 10:30 PM local for Oklahoma County in OK. 60 Mph Wind Gusts And Half Dollar Size Hail. #okwx #myswc,1
5421,first%20responders,Stuck In Traffic,Community first responders #CFR The Radio Ham: Tony Hancock http://t.co/MMSoOOOa70,0
3539,derailment,Mumbai,Latest : Suresh Prabhu calls Harda derailment a natural calamity; officials feel ... - Economic Ti... http://t.co/6bCIvdaEa0 #IndianNews,1
6739,lava,,@_Souuul * gains super powers im now lava girl throws you ina chest wrapped in chains &amp; sinks you down the the bottom of the ocean*,0
1030,bleeding,"Dublin,Ireland",Do people not understand they cant bleeding tweet everyone all the timedoes me head in 'stop ignoring me' they are hardly ignoring you+,0
4009,disaster,,paladins is going to be a disaster,0
4510,emergency,New York,11000 SEEDS 30 VEGETABLE FRUIT VARIETY GARDEN KIT EMERGENCY SURVIVAL GEAR MRE  - Full reaÛ_ http://t.co/OH4YSttyCo http://t.co/X8Kv8tZZE8,1
6895,mass%20murder,,Like bro they just committed a mass murder. You think they're gonna be scared to get guns illegally ????,1
5216,fatality,,@noobde this monkey will be a good character in mkx lol banana fatality,0
9389,survived,Keeper of the TriForce ,I survived the tube strike! This is my victory smile ;D http://t.co/L3Y3x2Cats,0
2940,danger,N 32å¡39' 0'' / W 97å¡16' 0'',@Fresenius  Said I put patients lives in danger and at the same time this is whats happening. Same like this is a bigger violation than PPE,1
8954,storm,Mackem in Bolton,"If you've got it flaunt it! Unless you've got an awful lot of it...then please don't.",0
7133,military,Worldwide,Obama warns there will be another war without Iran deal #military http://t.co/gM7QlTRLuW http://t.co/wTutMlHDMH,1
8593,seismic,,SEISMIC AUDIO SA-15T SA15T Padded Black Speaker COVERS (2) - Qty of 1 = 1 Pair! http://t.co/6OVxU5cy35 http://t.co/fAobg3I1zm,0
2762,curfew,"Lufkin.Texas,USA",Black African refugees in 'Israel' cannot attend Kenye West concert due to curfew for black refugees.. http://t.co/S0usjQYIJe,1
9843,trauma,"California, USA",@AngstAttack Dating a woman does NOT make you a Lesbian. However Lesbians are in fact caused by experiencing trauma involving a man.,1
